rok;region;kraj;plec;nadwaga
1994;EMR;ARE;FMLE;30.2
1994;EMR;ARE;MLE;15.1
1993;EMR;ARE;BTSX;19.2
1993;EMR;ARE;FMLE;29.9
1993;EMR;ARE;MLE;14.8
1992;EMR;ARE;BTSX;18.9
1992;EMR;ARE;FMLE;29.6
1992;EMR;ARE;MLE;14.4
1991;EMR;ARE;BTSX;18.6
1991;EMR;ARE;FMLE;29.3
1991;EMR;ARE;MLE;14.1
1990;EMR;ARE;BTSX;18.3
1990;EMR;ARE;FMLE;28.9
1990;EMR;ARE;MLE;13.8
1989;EMR;ARE;BTSX;18.0
1989;EMR;ARE;FMLE;28.6
1989;EMR;ARE;MLE;13.4
1988;EMR;ARE;BTSX;17.7
1988;EMR;ARE;FMLE;28.3
1988;EMR;ARE;MLE;13.1
1987;EMR;ARE;BTSX;17.4
1987;EMR;ARE;FMLE;28.0
1987;EMR;ARE;MLE;12.8
1986;EMR;ARE;BTSX;17.1
1986;EMR;ARE;FMLE;27.7
1986;EMR;ARE;MLE;12.5
1985;EMR;ARE;BTSX;16.8
1985;EMR;ARE;FMLE;27.4
1985;EMR;ARE;MLE;12.2
1984;EMR;ARE;BTSX;16.5
1984;EMR;ARE;FMLE;27.1
1984;EMR;ARE;MLE;11.9
1983;EMR;ARE;BTSX;16.1
1983;EMR;ARE;FMLE;26.8
1983;EMR;ARE;MLE;11.6
1982;EMR;ARE;BTSX;15.6
1982;EMR;ARE;FMLE;26.5
1982;EMR;ARE;MLE;11.3
1981;EMR;ARE;BTSX;15.2
1981;EMR;ARE;FMLE;26.1
1981;EMR;ARE;MLE;11.0
1980;EMR;ARE;BTSX;14.9
1980;EMR;ARE;FMLE;25.8
1980;EMR;ARE;MLE;10.7
1979;EMR;ARE;BTSX;14.5
1979;EMR;ARE;FMLE;25.4
1979;EMR;ARE;MLE;10.4
1978;EMR;ARE;BTSX;14.3
1978;EMR;ARE;FMLE;25.1
1978;EMR;ARE;MLE;10.1
1977;EMR;ARE;BTSX;14.0
1977;EMR;ARE;FMLE;24.8
1977;EMR;ARE;MLE;9.8
1976;EMR;ARE;BTSX;13.9
1976;EMR;ARE;FMLE;24.4
1976;EMR;ARE;MLE;9.5
1975;EMR;ARE;BTSX;13.7
1975;EMR;ARE;FMLE;24.1
1975;EMR;ARE;MLE;9.3
2016;AMR;ARG;BTSX;28.3
2016;AMR;ARG;FMLE;29.0
2016;AMR;ARG;MLE;27.3
2015;AMR;ARG;BTSX;27.8
2015;AMR;ARG;FMLE;28.5
2015;AMR;ARG;MLE;26.8
2014;AMR;ARG;BTSX;27.3
2014;AMR;ARG;FMLE;28.1
2014;AMR;ARG;MLE;26.2
2013;AMR;ARG;BTSX;26.8
2013;AMR;ARG;FMLE;27.6
2013;AMR;ARG;MLE;25.7
2012;AMR;ARG;BTSX;26.3
2012;AMR;ARG;FMLE;27.2
2012;AMR;ARG;MLE;25.1
2011;AMR;ARG;BTSX;25.8
2011;AMR;ARG;FMLE;26.7
2011;AMR;ARG;MLE;24.6
2010;AMR;ARG;BTSX;25.3
2010;AMR;ARG;FMLE;26.3
2010;AMR;ARG;MLE;24.1
2009;AMR;ARG;BTSX;24.8
2009;AMR;ARG;FMLE;25.9
2009;AMR;ARG;MLE;23.6
2008;AMR;ARG;BTSX;24.4
2008;AMR;ARG;FMLE;25.4
2008;AMR;ARG;MLE;23.0
2007;AMR;ARG;BTSX;23.9
2007;AMR;ARG;FMLE;25.0
2007;AMR;ARG;MLE;22.5
2006;AMR;ARG;BTSX;23.4
2006;AMR;ARG;FMLE;24.6
2006;AMR;ARG;MLE;22.0
2005;AMR;ARG;BTSX;23.0
2005;AMR;ARG;FMLE;24.2
2005;AMR;ARG;MLE;21.5
2004;AMR;ARG;BTSX;22.5
2004;AMR;ARG;FMLE;23.7
2004;AMR;ARG;MLE;21.0
2003;AMR;ARG;BTSX;22.1
2003;AMR;ARG;FMLE;23.3
2003;AMR;ARG;MLE;20.5
2002;AMR;ARG;BTSX;21.6
2002;AMR;ARG;FMLE;22.9
2002;AMR;ARG;MLE;20.0
2001;AMR;ARG;BTSX;21.2
2001;AMR;ARG;FMLE;22.5
2001;AMR;ARG;MLE;19.6
2000;AMR;ARG;BTSX;20.7
2000;AMR;ARG;FMLE;22.1
2000;AMR;ARG;MLE;19.1
1999;AMR;ARG;BTSX;20.3
1999;AMR;ARG;FMLE;21.8
1999;AMR;ARG;MLE;18.6
1998;AMR;ARG;BTSX;19.9
1998;AMR;ARG;FMLE;21.4
1998;AMR;ARG;MLE;18.2
1997;AMR;ARG;BTSX;19.5
1997;AMR;ARG;FMLE;21.0
1997;AMR;ARG;MLE;17.7
1996;AMR;ARG;BTSX;19.1
1996;AMR;ARG;FMLE;20.6
1996;AMR;ARG;MLE;17.3
1995;AMR;ARG;BTSX;18.6
1995;AMR;ARG;FMLE;20.2
1995;AMR;ARG;MLE;16.8
1994;AMR;ARG;BTSX;18.2
1994;AMR;ARG;FMLE;19.8
1994;AMR;ARG;MLE;16.4
1993;AMR;ARG;BTSX;17.8
1993;AMR;ARG;FMLE;19.5
1993;AMR;ARG;MLE;15.9
1992;AMR;ARG;BTSX;17.4
1992;AMR;ARG;FMLE;19.1
1992;AMR;ARG;MLE;15.5
1991;AMR;ARG;BTSX;17.0
1991;AMR;ARG;FMLE;18.7
1991;AMR;ARG;MLE;15.0
1990;AMR;ARG;BTSX;16.6
1990;AMR;ARG;FMLE;18.3
1990;AMR;ARG;MLE;14.6
